epoch,epsilon,steps,reward,loss
25,0.7509514165752726,160,36.8056537102468,0.4333096146583557
50,0.5615643812829237,156,22.16551724137879,0.41503238677978516
75,0.40250590837711264,170,92.29268292683014,0.5833008289337158
100,0.26757217943111355,275,383.9310954063556,1.4846938848495483
125,0.1714457865299995,125,90.2258566978202,3.4383530616760254
150,0.0999969960769904,217,576.7439716311989,5.088101387023926
175,0.0999969960769904,199,487.74525547444784,4.862595558166504
200,0.0999969960769904,177,478.8865319865261,6.621098518371582
225,0.0999969960769904,184,324.232624113472,7.394526958465576
250,0.0999969960769904,258,798.0325259515507,8.95077133178711
275,0.0999969960769904,388,728.194594594574,12.337325096130371
300,0.0999969960769904,312,891.9072463768011,12.898321151733398
325,0.0999969960769904,200,412.93447293446775,24.431730270385742
350,0.0999969960769904,125,168.48006644518435,22.04473114013672
375,0.0999969960769904,125,161.70318725099744,22.093097686767578
400,0.0999969960769904,286,574.2660066006505,17.734745025634766
425,0.0999969960769904,219,484.29999999999114,27.053802490234375
450,0.0999969960769904,302,871.08582375478,17.734249114990234
475,0.0999969960769904,246,709.1181494661826,59.79523468017578
500,0.0999969960769904,206,341.3746031745975,25.544898986816406
525,0.0999969960769904,328,756.0303797468259,23.409833908081055
550,0.0999969960769904,275,888.6191335740007,32.075199127197266
575,0.0999969960769904,238,666.781818181808,29.811487197875977
600,0.0999969960769904,297,903.8078014184281,11.424468994140625
625,0.0999969960769904,329,876.120143884874,18.71685791015625
650,0.0999969960769904,344,812.1094462540517,20.694610595703125
675,0.0999969960769904,174,393.62043343652954,17.380373001098633
700,0.0999969960769904,341,756.9057761732774,27.213966369628906
725,0.0999969960769904,200,394.7945205479401,39.49580383300781
