epoch,epsilon,steps,reward,loss
25,1.0,151,-0.2268138801261994,0.24298739433288574
50,1.0,130,-2.1696969696972737,0.9422194957733154
75,1.0,132,-1.399335548173525,0.6616771817207336
100,1.0,146,-0.0749999999988944,1.2541749477386475
125,1.0,319,-2.362046204693854,3.129695415496826
150,1.0,265,-2.380064308666448,4.674551963806152
175,1.0,311,-0.5623762376981176,7.411200523376465
200,1.0,146,-1.7507246376806336,5.481614112854004
225,1.0,534,-1.4631578948720971,7.602575302124023
250,1.0,339,-1.0010600707717572,16.27637481689453
275,1.0,314,-478.9324324324633,11.866662979125977
300,1.0,383,-2.6393442624005274,10070.302734375
325,1.0,663,-0.11578947390012218,10.778395652770996
350,1.0,603,-1.4837209304406542,18.386978149414062
375,1.0,333,-2.1731448764087418,16.750659942626953
400,1.0,433,-0.7845117846060248,11.17872142791748
425,1.0,243,-1.813483146145927,72.83788299560547
450,1.0,625,-0.08759124106870786,15.632123947143555
475,1.0,183,-2.279470198664086,38.327728271484375
500,1.0,58,-0.15862068965513004,153.9425048828125
